Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Casos de Teste Venda,Chrome 71.0.3578.98,"- Cadastro de venda pelo Menu\n- Cadastro de venda pelo bot\u00E3o \""Realizar Venda\""\n- Cancelar venda ap\u00F3s criar uma venda",2019-01-16 18:55:06,2019-01-16 18:57:30,"2m - 24,658s",FAILED
,,,,,,
Test Cases/Teste Venda/Teste_Cad_Venda_Menu,Chrome 71.0.3578.98,Teste cadastro de venda utilizando o caminho do menu de venda,2019-01-16 18:55:06,2019-01-16 18:55:52,"45,362s",PASSED
"callTestCase(findTestCase(""Teste Tela de Login/Teste Login Valido""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-16 18:55:07,2019-01-16 18:55:24,"16,270s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/MenuVenda""))",Chrome 71.0.3578.98,,2019-01-16 18:55:24,2019-01-16 18:55:24,"0,217s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SubMenuVenda""))",Chrome 71.0.3578.98,,2019-01-16 18:55:24,2019-01-16 18:55:24,"0,166s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/Op_Venda""))",Chrome 71.0.3578.98,,2019-01-16 18:55:24,2019-01-16 18:55:25,"0,693s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/InserirNovaVenda""))",Chrome 71.0.3578.98,,2019-01-16 18:55:25,2019-01-16 18:55:25,"0,180s",PASSED
"waitForElementVisible(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormCadastro""), 0)",Chrome 71.0.3578.98,,2019-01-16 18:55:25,2019-01-16 18:55:25,"0,150s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_EscolhaFilial""), ""39"", false)",Chrome 71.0.3578.98,,2019-01-16 18:55:25,2019-01-16 18:55:26,"0,808s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-16 18:55:26,2019-01-16 18:55:27,"1,015s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_Escolha...Caixa""), ""1"", false)",Chrome 71.0.3578.98,,2019-01-16 18:55:27,2019-01-16 18:55:27,"0,169s",PASSED
