Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Casos de Teste Venda,Chrome 71.0.3578.98,"- Cadastro de venda pelo Menu\n- Cadastro de venda pelo bot\u00E3o \""Realizar Venda\""\n- Cancelar venda ap\u00F3s criar uma venda",2019-01-17 11:56:30,2019-01-17 11:58:30,"1m - 59,138s",PASSED
,,,,,,
Test Cases/Teste Venda/Teste_Cad_Venda_Menu,Chrome 71.0.3578.98,Teste cadastro de venda utilizando o caminho do menu de venda,2019-01-17 11:56:31,2019-01-17 11:57:15,"44,434s",PASSED
"callTestCase(findTestCase(""Teste Tela de Login/Teste Login Valido""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 11:56:31,2019-01-17 11:56:55,"23,735s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/MenuVenda""))",Chrome 71.0.3578.98,,2019-01-17 11:56:55,2019-01-17 11:56:55,"0,174s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SubMenuVenda""))",Chrome 71.0.3578.98,,2019-01-17 11:56:55,2019-01-17 11:56:56,"0,151s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/Op_Venda""))",Chrome 71.0.3578.98,,2019-01-17 11:56:56,2019-01-17 11:56:56,"0,664s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/InserirNovaVenda""))",Chrome 71.0.3578.98,,2019-01-17 11:56:56,2019-01-17 11:56:56,"0,181s",PASSED
"waitForElementVisible(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormCadastro""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:56:56,2019-01-17 11:56:57,"0,166s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_EscolhaFilial""), ""39"", false)",Chrome 71.0.3578.98,,2019-01-17 11:56:57,2019-01-17 11:56:57,"0,802s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 11:56:57,2019-01-17 11:56:58,"1,021s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_Escolha...Caixa""), ""1"", false)",Chrome 71.0.3578.98,,2019-01-17 11:56:58,2019-01-17 11:56:59,"0,163s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 11:56:59,2019-01-17 11:56:59,"0,121s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionarOpDeCliente""), 0)",Chrome 71.0.3578.98,,2019-01-17 11:56:59,2019-01-17 11:56:59,"0,095s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionaCelular""))",Chrome 71.0.3578.98,,2019-01-17 11:56:59,2019-01-17 11:56:59,"0,164s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoCelular""), ""0000"")",Chrome 71.0.3578.98,,2019-01-17 11:56:59,2019-01-17 11:56:59,"0,284s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 11:56:59,2019-01-17 11:57:01,"2,001s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_00 00000-0000 - Teste Katal""))",Chrome 71.0.3578.98,,2019-01-17 11:57:01,2019-01-17 11:57:01,"0,139s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormClienteClick""))",Chrome 71.0.3578.98,,2019-01-17 11:57:01,2019-01-17 11:57:02,"0,160s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 11:57:02,2019-01-17 11:57:03,"1,001s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 11:57:03,2019-01-17 11:57:03,"0,125s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 11:57:03,2019-01-17 11:57:04,"1,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProduto""))",Chrome 71.0.3578.98,,2019-01-17 11:57:04,2019-01-17 11:57:04,"0,167s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProdPorModelo""))",Chrome 71.0.3578.98,,2019-01-17 11:57:04,2019-01-17 11:57:04,"0,197s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoModelo""), ""XT171"")",Chrome 71.0.3578.98,,2019-01-17 11:57:04,2019-01-17 11:57:05,"0,779s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 11:57:05,2019-01-17 11:57:07,"2,002s",PASSED
