Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
delay(1),Chrome 71.0.3578.98,,2019-01-17 13:14:15,2019-01-17 13:14:16,"1,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 13:14:16,2019-01-17 13:14:16,"0,170s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/ModalPagamento""), 0)",Chrome 71.0.3578.98,,2019-01-17 13:14:16,2019-01-17 13:14:16,"0,077s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpPag_Dinheiro""))",Chrome 71.0.3578.98,,2019-01-17 13:14:16,2019-01-17 13:14:16,"0,135s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AddPag""))",Chrome 71.0.3578.98,,2019-01-17 13:14:16,2019-01-17 13:14:16,"0,166s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvarPag""))",Chrome 71.0.3578.98,,2019-01-17 13:14:16,2019-01-17 13:14:16,"0,214s",PASSED
waitForAlert(1),Chrome 71.0.3578.98,,2019-01-17 13:14:16,2019-01-17 13:14:17,"1,083s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Fechar_Alert""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 13:14:17,2019-01-17 13:14:18,"0,108s",PASSED
"setText(findTestObject(""Page_Gemobile_TelaLogin/SetCampoLogin""), ""proprietário.open"")",Chrome 71.0.3578.98,,2019-01-17 13:14:18,2019-01-17 13:14:18,"0,769s",PASSED
"setText(findTestObject(""Page_Gemobile_TelaLogin/SetCampoSenha""), ""venus2018"")",Chrome 71.0.3578.98,,2019-01-17 13:14:18,2019-01-17 13:14:19,"0,262s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvarAuten""))",Chrome 71.0.3578.98,,2019-01-17 13:14:19,2019-01-17 13:14:19,"0,140s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_SalvarPag""))",Chrome 71.0.3578.98,,2019-01-17 13:14:19,2019-01-17 13:14:19,"0,116s",PASSED
