Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Casos de Teste Venda,Chrome 71.0.3578.98,"- Cadastro de venda pelo Menu\n- Cadastro de venda pelo bot\u00E3o \""Realizar Venda\""\n- Cancelar venda ap\u00F3s criar uma venda",2019-01-17 08:57:09,2019-01-17 08:59:42,"2m - 33,519s",FAILED
,,,,,,
Test Cases/Teste Venda/Teste_Cad_Venda_Menu,Chrome 71.0.3578.98,Teste cadastro de venda utilizando o caminho do menu de venda,2019-01-17 08:57:09,2019-01-17 08:57:45,"35,336s",PASSED
"callTestCase(findTestCase(""Teste Tela de Login/Teste Login Valido""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 08:57:10,2019-01-17 08:57:25,"14,984s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/MenuVenda""))",Chrome 71.0.3578.98,,2019-01-17 08:57:25,2019-01-17 08:57:25,"0,204s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SubMenuVenda""))",Chrome 71.0.3578.98,,2019-01-17 08:57:25,2019-01-17 08:57:25,"0,164s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page Cancelar Venda/Op_Venda""))",Chrome 71.0.3578.98,,2019-01-17 08:57:25,2019-01-17 08:57:26,"0,690s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/InserirNovaVenda""))",Chrome 71.0.3578.98,,2019-01-17 08:57:26,2019-01-17 08:57:26,"0,184s",PASSED
"waitForElementVisible(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormCadastro""), 0)",Chrome 71.0.3578.98,,2019-01-17 08:57:26,2019-01-17 08:57:26,"0,144s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_EscolhaFilial""), ""39"", false)",Chrome 71.0.3578.98,,2019-01-17 08:57:26,2019-01-17 08:57:27,"0,770s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 08:57:27,2019-01-17 08:57:28,"1,022s",PASSED
"selectOptionByValue(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Select_Escolha...Caixa""), ""1"", false)",Chrome 71.0.3578.98,,2019-01-17 08:57:28,2019-01-17 08:57:28,"0,179s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 08:57:28,2019-01-17 08:57:28,"0,174s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionarOpDeCliente""), 0)",Chrome 71.0.3578.98,,2019-01-17 08:57:28,2019-01-17 08:57:28,"0,094s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SelecionaCelular""))",Chrome 71.0.3578.98,,2019-01-17 08:57:28,2019-01-17 08:57:29,"0,190s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoCelular""), ""0000"")",Chrome 71.0.3578.98,,2019-01-17 08:57:29,2019-01-17 08:57:29,"0,321s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 08:57:29,2019-01-17 08:57:31,"2,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_00 00000-0000 - Teste Katal""))",Chrome 71.0.3578.98,,2019-01-17 08:57:31,2019-01-17 08:57:31,"0,126s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/FormClienteClick""))",Chrome 71.0.3578.98,,2019-01-17 08:57:31,2019-01-17 08:57:31,"0,152s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 08:57:31,2019-01-17 08:57:32,"1,001s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_AvancaCad""))",Chrome 71.0.3578.98,,2019-01-17 08:57:32,2019-01-17 08:57:32,"0,090s",PASSED
delay(1),Chrome 71.0.3578.98,,2019-01-17 08:57:32,2019-01-17 08:57:33,"1,002s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProduto""))",Chrome 71.0.3578.98,,2019-01-17 08:57:33,2019-01-17 08:57:33,"0,122s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/OpProdPorModelo""))",Chrome 71.0.3578.98,,2019-01-17 08:57:33,2019-01-17 08:57:34,"0,136s",PASSED
"setText(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/SetCampoModelo""), ""XT171"")",Chrome 71.0.3578.98,,2019-01-17 08:57:34,2019-01-17 08:57:34,"0,759s",PASSED
"delay(2, STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-17 08:57:34,2019-01-17 08:57:36,"2,001s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/li_Teste XT1710 Branco MOTOROL1""))",Chrome 71.0.3578.98,,2019-01-17 08:57:36,2019-01-17 08:57:36,"0,115s",PASSED
"click(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/Bt_Buscar""))",Chrome 71.0.3578.98,,2019-01-17 08:57:36,2019-01-17 08:57:37,"0,115s",PASSED
"waitForElementPresent(findTestObject(""Page_Gemobile_Venda/Page VendaMenu_VendaBotao/imgConfirmar""), 0)",Chrome 71.0.3578.98,,2019-01-17 08:57:37,2019-01-17 08:57:38,"1,585s",PASSED
